"stock","OM","MP","optimised","period","generations","fitness","lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Blim_max","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","1:5_risk_Blim","1:5_risk_Blim_max","1:5_risk_Bmsy","1:5_risk_halfBmsy","1:5_risk_collapse","1:5_SSB","1:5_Fbar","1:5_Catch","1:5_SSB_rel","1:5_Fbar_rel","1:5_Catch_rel","1:5_ICV","6:10_risk_Blim","6:10_risk_Blim_max","6:10_risk_Bmsy","6:10_risk_halfBmsy","6:10_risk_collapse","6:10_SSB","6:10_Fbar","6:10_Catch","6:10_SSB_rel","6:10_Fbar_rel","6:10_Catch_rel","6:10_ICV","11:20_risk_Blim","11:20_risk_Blim_max","11:20_risk_Bmsy","11:20_risk_halfBmsy","11:20_risk_collapse","11:20_SSB","11:20_Fbar","11:20_Catch","11:20_SSB_rel","11:20_Fbar_rel","11:20_Catch_rel","11:20_ICV","1:10_risk_Blim","1:10_risk_Blim_max","1:10_risk_Bmsy","1:10_risk_halfBmsy","1:10_risk_collapse","1:10_SSB","1:10_Fbar","1:10_Catch","1:10_SSB_rel","1:10_Fbar_rel","1:10_Catch_rel","1:10_ICV","1:20_risk_Blim","1:20_risk_Blim_max","1:20_risk_Bmsy","1:20_risk_halfBmsy","1:20_risk_collapse","1:20_SSB","1:20_Fbar","1:20_Catch","1:20_SSB_rel","1:20_Fbar_rel","1:20_Catch_rel","1:20_ICV","file","idxB_lag","idxB_range_3","comp_b_multiplier"
"cod.27.47d20","baseline","rfb","all","1-20",16,-0.136578833380925,1,4,2,1,0.1,0.4,0.6,3,1.38,1.2,0.7,0.447,1,0.5442,0.2629,0.00215,79063.2309577004,0.388159224767663,46011.2564146357,0.906919511501381,0.854928243756253,0.863421166619075,0.2,0.5938,1,0.7634,0.1416,0,63158.2348148769,0.346797029185504,32236.7909495817,0.724476280209731,0.763827203331091,0.604937352697227,0.326901109001819,0.2252,0.247,0.3202,0.1162,0,118925.142651307,0.293735662546961,46173.1222172787,1.36416803325757,0.646958511059901,0.866458648553805,0.2,0.4845,0.758,0.5466,0.3969,0.0043,74180.8683498849,0.571827689243586,56974.642591604,0.850914844633901,1.25946160982992,1.06915385945644,0.2,0.4095,1,0.5418,0.1289,0,81080.2000135702,0.327190984322436,38542.7138480173,0.930055785705018,0.720644508106415,0.723270728697916,0.2,0.447,1,0.5442,0.2629,0.00215,79063.2309577004,0.388159224767663,46011.2564146357,0.906919511501381,0.854928243756253,0.863421166619075,0.2,"output/cod.27.47d20/baseline/1000_20/rfb/mp_1_4_2_1_0.1_0.4_0.6_3_1.38_1.2_0.7.rds",NA,NA,NA
"cod.27.47d20","baseline","rfb","all","11-20",20,0.756231040630423,1,3,3,1,0.2,0.7,1.1,4,1.18,1.2,0.7,0.1272,1,0.18565,0.0316,0,173182.776404438,0.172276044432034,33033.974085978,1.98654718602628,0.379441339300158,0.619896839728696,0.2,0.4294,1,0.5988,0.0958,0,76209.3929095093,0.219492890468804,24854.5960372194,0.87418366985643,0.483437361247304,0.466407265928857,0.0265121197369657,0.0238,0.046,0.0558,0.0046,0,180683.55127142,0.144214076605978,29935.2501760699,2.07258716941482,0.317634309248935,0.561747942658539,NA,0.0278,0.054,0.044,0.013,0,222841.678348073,0.165004886895186,40430.9161818719,2.55617514768284,0.363426473372976,0.758703663787058,0.2,0.2266,1,0.3273,0.0502,0,121256.624098419,0.179127122656578,29549.5556937767,1.39091202018394,0.394530972369812,0.554510218549048,0.136122510043866,0.1272,1,0.18565,0.0316,0,173182.776404438,0.172276044432034,33033.974085978,1.98654718602628,0.379441339300158,0.619896839728696,0.2,"output/cod.27.47d20/baseline/1000_20/rfb/mp_1_3_3_1_0.2_0.7_1.1_4_1.18_1.2_0.7.rds",NA,NA,NA
"her.27.3a47d","baseline","rfb","default","11-20",NA,-0.193515941221634,1,2,3,1,1,1,1,2,0.9,1.2,0.7,0.1217,0.184,0.77175,0.18695,0,1484741.94219126,0.161687668265437,305688.601121996,0.741848230925235,1.37930735960331,1.05915844268114,0.144220417516432,0.0232,0.056,0.842,0.0652,0,1516218.13578901,0.208745599671026,381958.937378082,0.757575245750644,1.78074398004415,1.32342204385979,0.085004925334101,0.1468,0.176,0.766,0.2172,0,1457775.59305092,0.1790421528907,318753.209827494,0.728374550526102,1.52735308642059,1.10442506551223,0.161518585646719,0.1584,0.184,0.7395,0.2327,0,1469795.23756838,0.121569702364386,232763.082293032,0.734380140971313,1.03707343284031,0.806484058778366,0.182112399577233,0.085,0.176,0.804,0.1412,0,1492498.35718565,0.196416719078128,349568.074866644,0.745723707584443,1.67557012281753,1.21119327455405,0.110434576407556,0.1217,0.184,0.77175,0.18695,0,1484741.94219126,0.161687668265437,305688.601121996,0.741848230925235,1.37930735960331,1.05915844268114,0.144220417516432,"output/her.27.3a47d/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_0.9_1.2_0.7.rds",NA,NA,NA
"her.27.3a47d","baseline","rfb","multiplier","11-20",1,0.708967883947316,1,2,3,1,1,1,1,2,0.84,1.2,0.7,0.0329,0.066,0.59285,0.0641,0,1820860.91076511,0.109059182380642,256056.547987751,0.909789376205285,0.930350066295658,0.88719191232381,0.144951827806824,0.0106,0.025,0.8026,0.037,0,1586772.25228274,0.178275595705046,330557.478384868,0.792827463673524,1.52081382477453,1.1453248264334,0.145512592185808,0.0554,0.066,0.639,0.098,0,1740962.7066123,0.125203370789063,266656.429152681,0.869868404270329,1.06807113139261,0.923918678012962,0.149711922838452,0.0328,0.053,0.4649,0.0607,0,2079973.79435956,0.0778693591240062,204881.432186981,1.03925459089491,0.664279355869062,0.709878935141717,0.145152938646234,0.033,0.066,0.7208,0.0675,0,1646783.29549362,0.151002124353927,298192.740515838,0.822811856905029,1.28815229801683,1.03318657452173,0.144923337464157,0.0329,0.066,0.59285,0.0641,0,1820860.91076511,0.109059182380642,256056.547987751,0.909789376205285,0.930350066295658,0.88719191232381,0.144951827806824,"output/her.27.3a47d/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_0.84_1.2_0.7.rds",NA,NA,NA
"her.27.3a47d","baseline","rfb","all","11-20",45,1.05131797258277,0,4,3,1,1.5,1.7,1.2,2,0.93,1.2,0.7,0.0228,0.053,0.60485,0.04745,0,1819770.36978718,0.127877822523718,295146.014293844,0.909244489668276,1.09088604980962,1.02263019201771,0.199999999999657,0.0016,0.003,0.718,0.01,0,1717423.99393415,0.132770640915701,286504.571795121,0.858107335317992,1.1326251662782,0.992689079572325,0.295304894473179,0.0126,0.021,0.526,0.032,0,1952745.76566138,0.11910731020305,293601.441900255,0.975685370324125,1.01606752888488,1.01727851424825,0.19999999988714,0.0385,0.053,0.5877,0.0739,0,1828538.59540858,0.130167018905247,303688.669585804,0.913625515408001,1.11041447427447,1.05222902377717,0.199999999205873,0.0071,0.021,0.622,0.021,0,1814281.16496108,0.126234281694956,290821.660049352,0.906501819865728,1.07686551265153,1.00764704809155,0.200000000031184,0.0228,0.053,0.60485,0.04745,0,1819770.36978718,0.127877822523718,295146.014293844,0.909244489668276,1.09088604980962,1.02263019201771,0.199999999999657,"output/her.27.3a47d/baseline/1000_20/rfb/mp_0_4_3_1_1.5_1.7_1.2_2_0.93_1.2_0.7.rds",NA,NA,NA
"ple.27.7e","baseline","2over3","default","1-20",NA,-0.223418347600454,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.10055,0.126,0.7296,0.4192,1e-04,5835.73855623062,0.200332125467705,1324.43091589183,0.603425062778123,1.23852198781126,0.776581652399546,0.2,0.0626,0.11,0.9788,0.7518,0,3702.75070469326,0.345345144885645,1392.99189405269,0.382870574975597,2.13504226706609,0.816782463986942,0.2,0.1192,0.126,0.799,0.4158,0,5629.64133944293,0.218007891984142,1367.76020065584,0.582114268132307,1.34779964575511,0.801987830370458,0.2,0.1102,0.122,0.5703,0.2546,2e-04,8620.36887039941,0.139198598557206,1277.01341320114,0.891360463918937,0.860573532992365,0.748778342955202,0.2,0.0909,0.126,0.8889,0.5838,0,4283.60628701082,0.282159313190017,1380.20024963884,0.442932007277216,1.74440575936432,0.809282067977897,0.2,0.10055,0.126,0.7296,0.4192,1e-04,5835.73855623062,0.200332125467705,1324.43091589183,0.603425062778123,1.23852198781126,0.776581652399546,0.2,"output/ple.27.7e/baseline/1000_20/2over3/mp.rds",NA,NA,NA
"ple.27.7e","baseline","2over3","default","11-20",NA,-0.251221657044798,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.10055,0.126,0.7296,0.4192,1e-04,5835.73855623062,0.200332125467705,1324.43091589183,0.603425062778123,1.23852198781126,0.776581652399546,0.2,0.0626,0.11,0.9788,0.7518,0,3702.75070469326,0.345345144885645,1392.99189405269,0.382870574975597,2.13504226706609,0.816782463986942,0.2,0.1192,0.126,0.799,0.4158,0,5629.64133944293,0.218007891984142,1367.76020065584,0.582114268132307,1.34779964575511,0.801987830370458,0.2,0.1102,0.122,0.5703,0.2546,2e-04,8620.36887039941,0.139198598557206,1277.01341320114,0.891360463918937,0.860573532992365,0.748778342955202,0.2,0.0909,0.126,0.8889,0.5838,0,4283.60628701082,0.282159313190017,1380.20024963884,0.442932007277216,1.74440575936432,0.809282067977897,0.2,0.10055,0.126,0.7296,0.4192,1e-04,5835.73855623062,0.200332125467705,1324.43091589183,0.603425062778123,1.23852198781126,0.776581652399546,0.2,"output/ple.27.7e/baseline/1000_20/2over3/mp.rds",NA,NA,NA
"ple.27.7e","baseline","2over3_XSA","default","1-20",NA,-0.207469604643641,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.06975,0.108,0.7076,0.3663,0,6367.81130680712,0.185244526662121,1351.6308995334,0.658442269225174,1.1452452713567,0.792530395356359,0.0116112802278624,0.0622,0.108,0.978,0.7502,0,3704.26387181842,0.3341153274342,1186.86249413522,0.383027038970461,2.06561567959166,0.69591824368275,0.2,0.0854,0.102,0.7592,0.332,0,6380.93210959055,0.167887047579121,1141.13877394393,0.65979898203316,1.03793537561691,0.669108085633777,2.22044604925031e-16,0.0657,0.072,0.5466,0.1915,0,9054.90391627223,0.154011677600868,1546.73828470209,0.936292109640993,0.952153074016695,0.906931844123224,0.0114264479288812,0.0738,0.108,0.8686,0.5411,0,4542.84983244393,0.233191117171504,1183.43584729355,0.469738220607452,1.44166755733712,0.693909025206673,0.0118566800144615,0.06975,0.108,0.7076,0.3663,0,6367.81130680712,0.185244526662121,1351.6308995334,0.658442269225174,1.1452452713567,0.792530395356359,0.0116112802278624,"output/ple.27.7e/baseline/1000_20/2over3_XSA/mp.rds",NA,NA,NA
"ple.27.7e","baseline","2over3_XSA","default","11-20",NA,-0.0930620117021737,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.06975,0.108,0.7076,0.3663,0,6367.81130680712,0.185244526662121,1351.6308995334,0.658442269225174,1.1452452713567,0.792530395356359,0.0116112802278624,0.0622,0.108,0.978,0.7502,0,3704.26387181842,0.3341153274342,1186.86249413522,0.383027038970461,2.06561567959166,0.69591824368275,0.2,0.0854,0.102,0.7592,0.332,0,6380.93210959055,0.167887047579121,1141.13877394393,0.65979898203316,1.03793537561691,0.669108085633777,2.22044604925031e-16,0.0657,0.072,0.5466,0.1915,0,9054.90391627223,0.154011677600868,1546.73828470209,0.936292109640993,0.952153074016695,0.906931844123224,0.0114264479288812,0.0738,0.108,0.8686,0.5411,0,4542.84983244393,0.233191117171504,1183.43584729355,0.469738220607452,1.44166755733712,0.693909025206673,0.0118566800144615,0.06975,0.108,0.7076,0.3663,0,6367.81130680712,0.185244526662121,1351.6308995334,0.658442269225174,1.1452452713567,0.792530395356359,0.0116112802278624,"output/ple.27.7e/baseline/1000_20/2over3_XSA/mp.rds",NA,NA,NA
"ple.27.7e","baseline","hr","default","1-20",NA,0.529453325445643,NA,NA,NA,NA,NA,NA,1,1,1,1.2,0.7,0.00225,0.016,0.3778,0.15515,0,12023.9622567609,0.0666778264493425,902.962812184974,1.24329767512995,0.412225218317702,0.529453325445643,0.2,0.0088,0.016,0.948,0.5882,0,4392.96672925854,0.128511191307737,730.139155704558,0.454240058707711,0.794500311634294,0.428117967660735,0.3,2e-04,0.001,0.423,0.0314,0,10454.3621030541,0.069748965738477,818.389716054415,1.08099841135024,0.431212055942191,0.479863789325981,0.2,0,0,0.0701,5e-04,0,16767.1022338438,0.0563708259994954,1059.31767996469,1.7337462294746,0.348503802415418,0.621132189268694,0.2,0.0045,0.016,0.6855,0.3098,0,7015.58931985651,0.0817438303462844,777.806693062325,0.725423592055904,0.50536842763198,0.456067885231321,0.2,0.00225,0.016,0.3778,0.15515,0,12023.9622567609,0.0666778264493425,902.962812184974,1.24329767512995,0.412225218317702,0.529453325445643,0.2,"output/ple.27.7e/baseline/1000_20/hr/mp_1_1_1_1.4_1_1_1.2_0.7.rds",1,1,1.4
"ple.27.7e","baseline","hr","default","11-20",NA,0.621132189268694,NA,NA,NA,NA,NA,NA,1,1,1,1.2,0.7,0.00225,0.016,0.3778,0.15515,0,12023.9622567609,0.0666778264493425,902.962812184974,1.24329767512995,0.412225218317702,0.529453325445643,0.2,0.0088,0.016,0.948,0.5882,0,4392.96672925854,0.128511191307737,730.139155704558,0.454240058707711,0.794500311634294,0.428117967660735,0.3,2e-04,0.001,0.423,0.0314,0,10454.3621030541,0.069748965738477,818.389716054415,1.08099841135024,0.431212055942191,0.479863789325981,0.2,0,0,0.0701,5e-04,0,16767.1022338438,0.0563708259994954,1059.31767996469,1.7337462294746,0.348503802415418,0.621132189268694,0.2,0.0045,0.016,0.6855,0.3098,0,7015.58931985651,0.0817438303462844,777.806693062325,0.725423592055904,0.50536842763198,0.456067885231321,0.2,0.00225,0.016,0.3778,0.15515,0,12023.9622567609,0.0666778264493425,902.962812184974,1.24329767512995,0.412225218317702,0.529453325445643,0.2,"output/ple.27.7e/baseline/1000_20/hr/mp_1_1_1_1.4_1_1_1.2_0.7.rds",1,1,1.4
